Timestamp,What is your birth year? (e.g. 1998),Gender?,  What is your highest level of education?  ,  What industry do you work in?  ,  How would you rate your technical knowledge of AI?  ,  How often do you use AI-powered tools?  ,"What AI-powered services do you use most frequently? 
(You can choose multiple) ",  Why do you typically use AI?  ,"Have you noticed AI-generated content (e.g., news, ads, recommendations) influencing your choices in any of the following?   ",Do you think that AI recommendation based on your own choice is helping you?,Do you think that we should be more concern about using AI system?,"Do you think we should trust AI to make critical decisions in  Healthcare (e.g., AI diagnosing diseases)?",How much do you trust AI to make critical decisions in Healthcare?,"Do you think we should trust AI to make critical decisions in  Finance (e.g., AI approving loans or detecting fraud)?",How much do you trust AI to make critical decisions in Finance?,"Do you think we should trust AI to make critical decisions in  Hiring & Recruitment (e.g., AI screening job applications)?",How much do you trust AI to make critical decisions in Hiring and Recruitment?,"Do you think we should trust AI to make critical decisions in  Education (e.g., AI-assisted learning, grading systems)?",How much do you trust AI to make critical decisions in Education?,"Do you think we should trust AI to make critical decisions in  Customer Service (e.g., AI chatbots solving queries)?",How much do you trust AI to make critical decisions in Customer Service?,Have you ever experienced an AI-driven decision that felt unfair or biased?,Do you believe AI will replace jobs in your industry within the next 10 years?  ,Do you believe AI will create more jobs than it eliminates?  ,Are you actively learning new skills to adapt to AI-driven changes in the job market?  ,What is your biggest concern about AI?  ,Do you think AI should be more strictly regulated by governments?  ,Do you believe AI should be required to disclose when its content is AI-generated?  ,"How do you feel about AI making creative works (e.g., writing books, making music, generating art)?  "
2025/04/20 6:23:08 pm EET,1996,Female,Master,Education,Beginner,Daily,ChatGPT;Grammarly,Personal-Use;Assignment;Education,Social media content consumption;Career decisions;Education/learning habits,Yes,Yes,No,2,Maybe,3,No,1,Yes,3,Yes,3,Yes,Yes-but-not-completely,Yes,Yes,"None, I am optimistic about AI","Sometimes, but not too restrictive;No, AI should be allowed to develop freely","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/20 6:35:41 pm EET,1999,Female,Master,Others,Beginner,Daily,ChatGPT;Gemini;Siri;Alexa;Google Assistant;Grammarly,Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Yes,Yes,Maybe,3,Maybe,3,Maybe,3,Yes,4,Maybe,2,No,Yes-but-not-completely,Maybe,Yes,AI replacing human creativity and originality,"Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",AI-generated content is exciting and beneficial
2025/04/20 7:07:10 pm EET,1998,Male,Master,Education,Intermediate,Weekly- A few times,ChatGPT;Gemini;Deep Seek,Personal-Use;Education,Education/learning habits,Maybe,Yes,No,2,Yes,4,Yes,3,Yes,4,Yes,5,Yes,No,No,Yes,AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/20 7:47:23 pm EET,1997,Female,Master,Finance,Beginner,Daily,ChatGPT;Gemini;Siri;Google Assistant;Grammarly,Personal-Use;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Yes,Yes,No,1,No,1,No,1,No,1,Maybe,2,No,Yes-but-not-completely,Yes,Yes,Privacy and data security risks;AI bias in decision-making;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Only in certain cases (e.g., news, official documents)",AI-generated content is concerning and threatens human creativity
2025/04/21 6:32:58 am EET,2000,Female,Bachelor,Student,Beginner,Monthly- A few times,ChatGPT;Deep Seek,Education,Social media content consumption,Maybe,Yes,Yes,1,Yes,1,No,1,Maybe,1,Yes,1,Yes,Yes-but-not-completely,Maybe,No-Effect-in-my-career,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/21 12:45:28 pm EET,1998,Male,Master,Marketing-Media,Intermediate,Weekly- A few times,ChatGPT;Gemini;Google Assistant;Grammarly,Personal-Use;Education,Social media content consumption;Career decisions,Yes,Yes,No,2,Yes,4,No,1,Yes,4,Yes,5,No,Yes-but-not-completely,No,No,Job loss and automation replacing workers;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/21 1:32:33 pm EET,1996,Male,Master,Others,Beginner,Never,ChatGPT,Personal-Use,Online shopping,Maybe,Yes,Yes,1,Yes,4,Yes,1,Maybe,1,No,1,No,No,No,No-Effect-in-my-career,Job loss and automation replacing workers,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/21 3:43:39 pm EET,2000,Female,Master,Others,Intermediate,Weekly- A few times,ChatGPT,Personal-Use,Career decisions,Yes,Yes,Yes,4,Yes,1,Yes,3,Yes,3,Yes,3,Yes,No,No,No,Job loss and automation replacing workers,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/22 5:45:00 am EET,2004,Male,HSC,Others,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Siri;Google Assistant,Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Yes,Yes,No,1,Yes,4,Yes,3,Yes,5,Yes,3,No,No,Maybe,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes,"Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",AI-generated content is exciting and beneficial
2025/04/22 5:50:08 am EET,1998,Male,Bachelor,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant;Grammarly,Assignment;Education,Online shopping;Social media content consumption,Yes,Yes,No,1,Yes,3,Yes,5,Yes,5,Yes,4,Yes,No,Yes,Yes,Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/22 6:34:52 am EET,2005,Male,Bachelor,Student,Beginner,Daily,ChatGPT;Deep Seek;Siri;Google Assistant,Data-Analysis;Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Yes,Maybe,No,1,Yes,4,Yes,5,Yes,5,Yes,4,Maybe,Yes-but-not-completely,Yes,No,Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/22 12:06:15 pm EET,1997,Female,Master,Education,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant;Grammarly,Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Yes,Yes,No,1,No,1,Maybe,3,Yes,5,Yes,5,Yes,No,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/22 12:06:15 pm EET,2003,Female,Bachelor,Others,None,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant;Grammarly,Data-Analysis;Coding;Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Career decisions,Yes,Yes,No,1,No,2,No,2,Yes,3,Yes,2,No,Yes,Yes,Yes,Privacy and data security risks;AI being used for misinformation and deepfakes,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/22 12:07:34 pm EET,2004,Female,Bachelor,Student,Beginner,Daily,ChatGPT,Coding;Personal-Use;Assignment;Education,Social media content consumption;Education/learning habits,Yes,Yes,Maybe,3,Yes,5,Yes,5,Yes,4,Maybe,3,Maybe,Yes-but-not-completely,Yes,No,"None, I am optimistic about AI","Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/22 12:09:12 pm EET,2003,Female,Bachelor,Student,Beginner,Daily,ChatGPT;Gemini;Google Assistant,Data-Analysis;Coding;Assignment;Education,Social media content consumption;Education/learning habits,Yes,Yes,Yes,3,No,1,No,1,Yes,4,Yes,3,Yes,Yes-but-not-completely,Yes,Yes,Privacy and data security risks;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/22 12:11:00 pm EET,1996,Female,Master,Education,Intermediate,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant;Grammarly,Coding;Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Yes,Yes,No,1,No,1,Yes,5,Yes,5,Yes,5,Yes,No,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/22 3:04:13 pm EET,2003,Male,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant,Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Yes,Yes,No,1,Yes,4,No,1,Maybe,3,Yes,4,No,No,Yes,No-Effect-in-my-career,Privacy and data security risks;AI bias in decision-making,"No, AI should be allowed to develop freely","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/24 6:58:13 am EET,2005,Male,HSC,Student,Beginner,Daily,ChatGPT;Siri,Data-Analysis;Personal-Use,Education/learning habits,Yes,Yes,No,3,No,3,Maybe,5,Maybe,5,Yes,5,Maybe,Yes-but-not-completely,Maybe,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI being used for misinformation and deepfakes,"Sometimes, but not too restrictive;No, AI should be allowed to develop freely","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/24 6:59:01 am EET,2004,Male,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant;Grammarly,Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Yes,Yes,No,1,Maybe,3,Yes,5,Yes,5,Yes,5,Yes,No,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/24 7:00:06 am EET,1994,Male,Bachelor,Student,Intermediate,Weekly- A few times,ChatGPT;Gemini;Deep Seek,Data-Analysis;Personal-Use;Assignment;Education,Career decisions;Education/learning habits,Maybe,Maybe,Maybe,3,Maybe,3,Maybe,3,Maybe,3,Maybe,3,Maybe,Yes-but-not-completely,Maybe,Yes,"None, I am optimistic about AI","Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/24 7:00:35 am EET,2003,Male,Bachelor,Student,Intermediate,Weekly- A few times,Deep Seek,Personal-Use,Online shopping,Maybe,Maybe,Maybe,1,Maybe,1,Maybe,3,Maybe,3,Maybe,4,Maybe,Yes,Maybe,Yes,AI bias in decision-making,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/24 7:00:55 am EET,1996,Male,Bachelor,Student,None,Never,Siri,Personal-Use;Assignment;Education,Education/learning habits,Maybe,Yes,Yes,3,Maybe,4,Yes,3,No,2,Maybe,2,No,Yes-but-not-completely,Maybe,No-Effect-in-my-career,AI being used for misinformation and deepfakes,"Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",AI-generated content is concerning and threatens human creativity
2025/04/24 7:01:06 am EET,2003,Female,HSC,Student,None,Never,Siri;Google Assistant,Data-Analysis;Personal-Use;Education,Online shopping;Education/learning habits,Maybe,Yes,Maybe,2,Maybe,2,Maybe,3,Yes,3,Yes,3,Maybe,Yes,Yes,No-Effect-in-my-career,Privacy and data security risks,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/24 7:01:08 am EET,2004,Male,HSC,Student,Beginner,Never,ChatGPT;Gemini,Data-Analysis;Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Yes,No,No,2,No,2,Yes,1,Yes,3,Yes,2,No,Yes,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","No, it is unnecessary",It depends on how AI is used
2025/04/24 7:01:08 am EET,2004,Male,HSC,Student,Beginner,Weekly- A few times,ChatGPT;Siri;Google Assistant,Automation;Data-Analysis;Assignment;Education,Online shopping;Education/learning habits,Maybe,Maybe,Maybe,3,Yes,3,Maybe,3,Yes,2,Yes,2,Maybe,Yes-but-not-completely,Yes,Yes,"AI bias in decision-making;AI being used for misinformation and deepfakes;None, I am optimistic about AI","Sometimes, but not too restrictive;No, AI should be allowed to develop freely","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/24 7:01:19 am EET,2006,Male,Bachelor,Student,Intermediate,Daily,ChatGPT;Deep Seek,Education,Education/learning habits,Yes,Yes,Maybe,3,No,1,Yes,4,Yes,4,Maybe,3,Yes,No,Yes,Yes,Privacy and data security risks,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/24 7:01:38 am EET,2004,Male,HSC,Student,Beginner,Daily,ChatGPT,Personal-Use;Assignment;Education,Online shopping;Education/learning habits,Yes,Yes,Maybe,3,Maybe,3,Maybe,3,Maybe,3,Maybe,3,Maybe,Yes-but-not-completely,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks,"Yes, AI should have strong legal restrictions","Only in certain cases (e.g., news, official documents)",AI-generated content is exciting and beneficial
2025/04/24 7:01:50 am EET,2006,Female,Bachelor,Student,Intermediate,Daily,ChatGPT;Siri,Assignment;Education,Online shopping;Career decisions;Education/learning habits,Yes,Yes,No,3,Maybe,2,No,2,Yes,1,Maybe,1,Yes,Yes-but-not-completely,Maybe,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/24 7:01:51 am EET,2005,Male,HSC,Education,Beginner,Monthly- A few times,ChatGPT;Deep Seek;Google Assistant,Education,Social media content consumption,Yes,Yes,Maybe,3,Maybe,3,Yes,3,Yes,3,Yes,2,Yes,Yes,Yes,Yes,Job loss and automation replacing workers,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/24 7:02:01 am EET,2004,Male,HSC,Student,None,Daily,ChatGPT;Gemini;Google Assistant,Assignment;Education,Education/learning habits,Yes,Yes,Yes,4,Yes,4,Yes,4,Yes,4,No,4,Yes,Yes,Yes,Yes,"None, I am optimistic about AI","Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/24 7:02:03 am EET,2004,Female,Bachelor,Student,Intermediate,Daily,ChatGPT;Gemini;Google Assistant;Grammarly,Data-Analysis;Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Yes,Yes,No,4,Maybe,2,No,3,Yes,1,Maybe,3,Yes,No,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/24 7:02:04 am EET,2004,Male,HSC,Student,Intermediate,Daily,ChatGPT,Education,Education/learning habits,Yes,Yes,Yes,5,Yes,5,Yes,1,Yes,5,Yes,5,Yes,Yes-but-not-completely,Yes,Yes,Job loss and automation replacing workers,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/24 7:02:05 am EET,2004,Male,Bachelor,Student,Intermediate,Daily,ChatGPT;Siri;Google Assistant,Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Yes,Yes,No,4,Maybe,2,No,3,Yes,1,Maybe,3,Yes,No,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/24 7:02:07 am EET,2004,Male,HSC,Student,Beginner,Never,ChatGPT,Personal-Use,Education/learning habits,Maybe,Yes,Maybe,3,Maybe,3,Maybe,3,Yes,2,Maybe,4,Maybe,Yes,Yes,Yes,Privacy and data security risks,"No, AI should be allowed to develop freely","Only in certain cases (e.g., news, official documents)",AI-generated content is concerning and threatens human creativity
2025/04/24 7:02:45 am EET,2004,Male,HSC,Student,Intermediate,Weekly- A few times,ChatGPT;Deep Seek;Google Assistant,Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Yes,Yes,No,1,No,1,No,1,Maybe,2,Yes,5,Yes,No,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes,"Yes, AI should have strong legal restrictions;Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/24 7:04:09 am EET,2000,Male,HSC,Student,Beginner,Daily,ChatGPT,Personal-Use;Education,Education/learning habits,Yes,Yes,Yes,3,Maybe,3,Maybe,3,Yes,5,Maybe,3,Maybe,Yes-but-not-completely,Maybe,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/24 7:04:26 am EET,2001,Male,HSC,Student,Beginner,Weekly- A few times,ChatGPT,Education,Social media content consumption,Yes,Yes,Yes,5,Yes,3,Maybe,3,Yes,5,Maybe,3,Maybe,Yes,Maybe,No,Privacy and data security risks,"Yes, AI should have strong legal restrictions","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/24 7:05:01 am EET,2005,Male,Bachelor,Student,Expert,Daily,ChatGPT;Gemini;Deep Seek,Data-Analysis;Assignment;Education,Education/learning habits,Yes,Yes,Maybe,3,No,2,No,2,Yes,4,Yes,3,Yes,No,Yes,Yes,AI bias in decision-making,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/24 7:06:38 am EET,2003,Male,HSC,Student,Intermediate,Weekly- A few times,ChatGPT;Gemini;Google Assistant,Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Yes,Yes,No,1,Maybe,3,Yes,3,Maybe,2,Yes,2,Yes,No,Maybe,No-Effect-in-my-career,AI replacing human creativity and originality,"No, AI should be allowed to develop freely","Only in certain cases (e.g., news, official documents)",AI-generated content is exciting and beneficial
2025/04/24 8:11:33 am EET,2004,Male,Bachelor,Student,Beginner,Monthly- A few times,ChatGPT,Education,Social media content consumption,Yes,Yes,Maybe,3,Yes,4,Yes,4,Yes,4,Yes,5,Yes,Unsure,Yes,Yes,Privacy and data security risks,"Yes, AI should have strong legal restrictions","No, it is unnecessary",It depends on how AI is used
2025/04/24 8:42:44 am EET,2005,Male,Bachelor,Student,Intermediate,Weekly- A few times,Deep Seek,Education,Social media content consumption,Maybe,Maybe,Maybe,3,Maybe,3,Maybe,3,Maybe,3,Maybe,3,Maybe,Unsure,Maybe,No-Effect-in-my-career,AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/24 9:45:47 am EET,2003,Female,Bachelor,Student,Beginner,Weekly- A few times,ChatGPT;Siri,Data-Analysis;Assignment;Education,Education/learning habits,Maybe,Yes,No,5,Maybe,2,Maybe,2,Yes,3,Yes,2,Yes,Unsure,Maybe,No-Effect-in-my-career,"None, I am optimistic about AI","No, AI should be allowed to develop freely","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/24 4:42:48 pm EET,2003,Male,HSC,Student,None,Weekly- A few times,ChatGPT,Education,Education/learning habits,Maybe,Maybe,No,3,Maybe,3,No,3,Maybe,3,Maybe,3,Maybe,Yes-but-not-completely,Maybe,No-Effect-in-my-career,"None, I am optimistic about AI","Yes, AI should have strong legal restrictions","Only in certain cases (e.g., news, official documents)",AI-generated content is concerning and threatens human creativity
2025/04/29 11:56:49 am EEST,1993,Male,HSC,Student,Beginner,Daily,ChatGPT,Education,Education/learning habits,Yes,Yes,Yes,1,Yes,2,Yes,1,Yes,1,Yes,1,Yes,Yes,Yes,Yes,"None, I am optimistic about AI","Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/29 12:03:31 pm EEST,2005,Male,HSC,Student,Intermediate,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant;Grammarly,Automation;Data-Analysis;Coding;Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Yes,Yes,No,1,No,1,Yes,4,Yes,4,Yes,4,Yes,Yes-but-not-completely,No,No-Effect-in-my-career,Job loss and automation replacing workers;Privacy and data security risks;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/29 12:09:58 pm EEST,2007,Male,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant,Personal-Use;Assignment;Education,Online shopping;Education/learning habits,Yes,Yes,No,1,No,1,Yes,4,Maybe,3,Maybe,3,Yes,Yes-but-not-completely,Yes,Yes,Privacy and data security risks;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/29 12:11:40 pm EEST,2004,Male,HSC,Student,Beginner,Daily,ChatGPT;Deep Seek;Google Assistant,Personal-Use;Assignment;Education,Online shopping;Social media content consumption,Yes,No,Maybe,1,No,1,Yes,3,No,2,Maybe,3,Yes,Yes-but-not-completely,Yes,No-Effect-in-my-career,AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/29 12:12:59 pm EEST,2006,Male,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant,Data-Analysis;Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Yes,Yes,No,1,Maybe,2,Yes,4,Maybe,3,Maybe,3,Yes,No,Yes,No-Effect-in-my-career,Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions;Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",AI-generated content is concerning and threatens human creativity
2025/04/29 12:13:44 pm EEST,2004,Male,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Siri;Google Assistant;Grammarly,Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Maybe,Yes,No,1,No,1,Yes,4,Maybe,3,Maybe,3,Yes,No,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/29 12:13:45 pm EEST,2007,Female,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Siri;Grammarly,Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Maybe,Yes,No,1,No,1,Yes,4,Maybe,3,Maybe,3,Yes,No,Yes,No,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/29 12:13:46 pm EEST,2004,Male,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Google Assistant,Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Maybe,Yes,No,1,No,1,Yes,4,Maybe,3,Maybe,3,Yes,No,Yes,No,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/29 12:13:47 pm EEST,2005,Male,HSC,Student,Beginner,Daily,ChatGPT;Deep Seek;Siri;Google Assistant;Grammarly,Data-Analysis;Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Maybe,Yes,No,1,No,1,Yes,4,Maybe,3,Maybe,3,Yes,No,Yes,No,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/29 12:13:47 pm EEST,2006,Female,HSC,Student,Beginner,Daily,ChatGPT;Deep Seek;Google Assistant,Education,Social media content consumption;Career decisions;Education/learning habits,Yes,Yes,No,1,No,1,Yes,4,Maybe,3,Maybe,3,Yes,No,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/29 12:13:47 pm EEST,2004,Male,HSC,Student,Beginner,Daily,ChatGPT;Deep Seek;Siri,Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Maybe,Yes,No,1,No,1,Yes,4,Maybe,3,Maybe,3,Yes,No,Yes,Yes,Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/29 12:13:47 pm EEST,2005,Male,HSC,Student,Beginner,Weekly- A few times,ChatGPT;Gemini;Deep Seek;Google Assistant,Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Maybe,Yes,No,1,No,2,Yes,4,Maybe,3,Maybe,3,Yes,No,Yes,No-Effect-in-my-career,Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/29 12:13:50 pm EEST,2005,Female,HSC,Student,Beginner,Daily,ChatGPT;Deep Seek;Siri;Google Assistant,Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Yes,Yes,No,1,No,1,Yes,4,Maybe,2,Maybe,3,Yes,Yes-but-not-completely,Maybe,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/29 12:13:51 pm EEST,2005,Female,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Google Assistant,Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Maybe,Yes,No,1,No,1,Yes,4,Maybe,3,Maybe,3,Yes,No,Yes,No,Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/29 12:13:51 pm EEST,2004,Male,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Siri;Google Assistant;Grammarly,Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Maybe,Yes,No,1,No,1,No,4,Maybe,3,Maybe,3,Yes,No,Yes,No,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
